"node1","rel","node2"
"RAl1q8Wcan","->","RATc9O9tCd"
"RALbwlXSd3","->","RAxxJWyH8O"
"RA7k6cVTww","->","RA5rRFy9eD"
"RAqj2d3QxM","->","RAWCmrfeUU"
"RAeSpvWpda","->","RA5rRFy9eD"
"RATc9O9tCd","[fillcolor=red]",""
"RAmfrSLt-W","[fillcolor=red]",""
"RAGo62Hb_B","[fillcolor=red]",""
"RAWcrMY8mn","[fillcolor=red]",""
"RAGgV-nRMW","[fillcolor=red]",""
"RAsdV8EQ1q","[fillcolor=red]",""
"RAIWvdnjqm","[fillcolor=red]",""
"RAPLWOEA5t","[fillcolor=red]",""
"RASZZ5T1Ca","[fillcolor=red]",""
"RAxxJWyH8O","[fillcolor=red]",""
"RAjk3YoNyd","[fillcolor=red]",""
"RA2JlYTWhC","[fillcolor=red]",""
"RAYJe1ruxz","[fillcolor=red]",""
"RAWCmrfeUU","[fillcolor=red]",""
"RA5rRFy9eD","[fillcolor=red]",""
